ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
37	12809	1	1	0.000000	19.540948	19.540948	0.000000	0.000000	0	0	0
38	29	2	1	0.000000	68.620690	54.000000	0.000000	0.000000	0	0	0
39	86	1	1	0.000000	19.860465	19.860465	0.000000	0.000000	0	0	0
40	73656	1	1	0.000000	19.109862	19.103074	0.000000	0.000000	0	0	0
41	17768	0	1	0.000000	22.219158	22.210772	0.000000	0.000000	0	0	0
42	86459	2	1	0.000000	18.530587	18.521311	0.000000	0.000000	0	0	0
43	81	1	1	0.000000	25.913580	25.913580	0.000000	0.000000	0	0	0
44	10981	1	1	0.000000	19.965486	19.965486	0.000000	0.000000	0	0	0
45	65285	1	2	0.000000	19.297174	19.281611	0.000000	0.000000	0	0	0
46	13089	2	2	0.000000	20.843838	20.821148	0.000000	0.000000	0	0	0
47	16353	0	1	0.000000	20.014554	20.014554	0.000000	0.000000	0	0	0
48	35593	0	1	0.000000	19.564971	19.562189	0.000000	0.000000	0	0	0
49	40214	2	1	0.000000	19.526682	19.524593	0.000000	0.000000	0	0	0
50	9679	0	1	0.000000	21.613493	21.613493	0.000000	0.000000	0	0	0
51	1856	0	1	0.000000	18.821121	18.821121	0.000000	0.000000	0	0	0
52	9195	1	1	0.000000	19.792496	19.792496	0.000000	0.000000	0	0	0
53	3369	2	0	0.000000	14.713565	14.713565	0.000000	0.000000	0	0	0
54	58747	1	1	0.000000	18.685873	18.683677	0.000000	0.000000	0	0	0
55	14334	2	0	0.000000	22.270476	22.183550	0.000000	0.000000	0	0	0
56	25862	0	2	0.000000	18.113526	18.113526	0.000000	0.000000	0	0	0
57	123929	1	1	0.000000	18.872338	18.866649	0.000000	0.000000	0	0	0
58	3551	0	0	0.000000	18.334272	18.334272	0.000000	0.000000	0	0	0
59	28601	1	1	0.000000	20.674837	20.654942	0.000000	0.000000	0	0	0
60	4951	1	0	0.000000	17.787922	17.787922	0.000000	0.000000	0	0	0
61	13218	2	0	0.000000	18.712059	18.712059	0.000000	0.000000	0	0	0
62	13506	0	0	0.000000	17.709462	17.701688	0.000000	0.000000	0	0	0
63	26745	2	1	0.000000	19.926640	19.922004	0.000000	0.000000	0	0	0
64	40130	1	1	0.000000	19.537503	19.510815	0.000000	0.000000	0	0	0
65	22567	1	0	0.000000	19.335268	19.276909	0.000000	0.000000	0	0	0
66	46822	2	0	0.000000	19.674170	19.668147	0.000000	0.000000	0	0	0
67	13845	0	0	0.000000	18.274323	18.274323	0.000000	0.000000	0	0	0
68	28905	0	0	0.000000	18.383498	18.383498	0.000000	0.000000	0	0	0
69	52018	0	0	0.000000	19.009862	19.003422	0.000000	0.000000	0	0	0
70	40578	2	0	0.000000	18.882695	18.878161	0.000000	0.000000	0	0	0
71	27809	0	1	0.000000	19.176562	19.146679	0.000000	0.000000	0	0	0
72	28953	2	1	0.000000	18.734501	18.704590	0.000000	0.000000	0	0	0
73	3531	2	0	0.000000	18.916171	18.916171	0.000000	0.000000	0	0	0
74	36292	1	1	0.000000	20.088063	20.071090	0.000000	0.000000	0	0	0
75	80635	0	2	0.000000	18.681838	18.677683	0.000000	0.000000	0	0	0
76	4918	1	2	0.000000	20.319642	20.319642	0.000000	0.000000	0	0	0
77	78574	1	1	0.000000	18.610075	18.599435	0.000000	0.000000	0	0	0
78	5820	1	0	0.000000	19.661684	19.661684	0.000000	0.000000	0	0	0
79	12911	0	2	0.000000	16.817675	16.799164	0.000000	0.000000	0	0	0
80	8334	1	0	0.000000	20.306216	20.306216	0.000000	0.000000	0	0	0
81	35153	1	1	0.000000	17.781953	17.741501	0.000000	0.000000	0	0	0
82	1175	3	2	0.000000	90.847660	90.765106	0.000000	0.000000	0	0	0
83	6856	1	2	0.000000	21.795216	21.795216	0.000000	0.000000	0	0	0
84	21846	0	1	0.000000	17.589902	17.589902	0.000000	0.000000	0	0	0
85	21801	0	1	0.000000	18.223981	18.219348	0.000000	0.000000	0	0	0
86	10134	0	2	0.000000	18.952733	18.917308	0.000000	0.000000	0	0	0
87	9664	0	1	0.000000	17.378932	17.360617	0.000000	0.000000	0	0	0
88	12439	2	1	0.000000	19.334352	19.334352	0.000000	0.000000	0	0	0
89	3540	0	1	0.000000	21.775706	21.775706	0.000000	0.000000	0	0	0
90	9924	1	0	0.000000	19.108525	19.094720	0.000000	0.000000	0	0	0
91	132	1	1	0.000000	14.787879	14.787879	0.000000	0.000000	0	0	0
92	597	2	2	0.000000	29.976549	27.410385	0.000000	0.000000	0	0	0
93	6276	2	2	0.000000	18.315647	18.315647	0.000000	0.000000	0	0	0
94	15440	1	0	0.000000	19.129404	19.129404	0.000000	0.000000	0	0	0
95	625	1	3	0.000000	125.572800	121.963200	0.000000	0.000000	0	0	0
96	7539	2	1	0.000000	18.374453	18.374453	0.000000	0.000000	0	0	0
97	24639	1	2	0.000000	20.173343	20.162101	0.000000	0.000000	0	0	0
98	22966	1	2	0.000000	18.574414	18.574414	0.000000	0.000000	0	0	0
99	1598	2	0	0.000000	20.484981	20.484981	0.000000	0.000000	0	0	0
100	52842	0	1	0.000000	20.613868	20.604917	0.000000	0.000000	0	0	0
101	39069	1	1	0.000000	19.278379	19.262280	0.000000	0.000000	0	0	0
102	1962	0	0	0.000000	15.192661	15.192661	0.000000	0.000000	0	0	0
103	116	1	2	0.000000	32.396552	32.396552	0.000000	0.000000	0	0	0
104	3405	2	1	0.000000	17.360059	17.360059	0.000000	0.000000	0	0	0
105	15215	1	1	0.000000	18.340651	18.323694	0.000000	0.000000	0	0	0
106	3076	0	0	0.000000	15.657672	15.657672	0.000000	0.000000	0	0	0
107	2555	1	1	0.000000	22.857534	22.857534	0.000000	0.000000	0	0	0
108	25336	2	2	0.000000	19.295548	19.295548	0.000000	0.000000	0	0	0
109	13215	1	0	0.000000	17.572153	17.572153	0.000000	0.000000	0	0	0
110	8942	0	1	0.000000	19.061955	19.061955	0.000000	0.000000	0	0	0
111	42856	0	1	0.000000	18.330805	18.320655	0.000000	0.000000	0	0	0
112	19199	1	1	0.000000	17.210428	17.204334	0.000000	0.000000	0	0	0
113	41101	1	1	0.000000	18.791051	18.783339	0.000000	0.000000	0	0	0
114	21561	1	1	0.000000	18.899402	18.886462	0.000000	0.000000	0	0	0
115	9426	0	3	0.000000	19.222576	19.222576	0.000000	0.000000	0	0	0
116	2391	1	1	0.000000	19.767461	19.767461	0.000000	0.000000	0	0	0
117	8546	0	2	0.000000	19.367423	19.347648	0.000000	0.000000	0	0	0
118	11593	0	1	0.000000	18.252480	18.252480	0.000000	0.000000	0	0	0
119	15743	0	1	0.000000	18.968684	18.968684	0.000000	0.000000	0	0	0
120	2128	0	0	0.000000	17.197838	17.197838	0.000000	0.000000	0	0	0
121	1962	1	1	0.000000	19.955148	19.955148	0.000000	0.000000	0	0	0
122	23905	1	1	0.000000	19.336457	19.332734	0.000000	0.000000	0	0	0
123	4193	0	1	0.000000	20.340568	20.340568	0.000000	0.000000	0	0	0
124	119	1	1	0.000000	49.680672	35.915966	0.000000	0.000000	0	0	0
125	25494	1	1	0.000000	19.139484	19.134855	0.000000	0.000000	0	0	0
126	35734	1	1	0.000000	18.737057	18.729361	0.000000	0.000000	0	0	0
127	11844	2	0	0.000000	17.011060	17.011060	0.000000	0.000000	0	0	0
128	3028	2	2	0.000000	21.285667	21.285667	0.000000	0.000000	0	0	0
129	13010	0	0	0.000000	17.646964	17.646964	0.000000	0.000000	0	0	0
130	1038	2	2	0.000000	42.041426	37.605973	0.000000	0.000000	0	0	0
131	49680	2	2	0.000000	17.552637	17.546679	0.000000	0.000000	0	0	0
132	38219	0	1	0.000000	19.196865	19.189618	0.000000	0.000000	0	0	0
133	11574	2	1	0.000000	17.012355	17.012355	0.000000	0.000000	0	0	0
134	13489	0	0	0.000000	19.426570	19.426570	0.000000	0.000000	0	0	0
135	6630	1	1	0.000000	24.048416	24.048416	0.000000	0.000000	0	0	0
136	12534	2	2	0.000000	18.857667	18.857667	0.000000	0.000000	0	0	0
137	35401	1	0	0.000000	19.342872	19.327533	0.000000	0.000000	0	0	0
138	8029	0	2	0.000000	19.517748	19.517748	0.000000	0.000000	0	0	0
139	57808	1	1	0.000000	18.774702	18.764254	0.000000	0.000000	0	0	0
140	78	1	1	0.000000	21.128205	21.128205	0.000000	0.000000	0	0	0
